id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,toxicity_per_straw_unit,solar_rad_threshold,max_diffuse_bonus,max_light_limit,steepness_factor,error_yield,error_pesticide,fitness
130,8.55411063835043E18,0.63,0.7,0.04,0.097,26.0,0.3,23.8,4.5,0.07805821353386194,0.08544229138521803,0.2415587184529419
131,8.55411063835043E18,0.64,0.7,0.04,0.097,15.0,1.6,24.1,13.7,0.27384807531545163,0.08544229138521803,0.6331384420161212
132,8.55411063835043E18,0.52,0.7,0.04,0.093,19.0,0.3,23.8,4.5,0.1941312358486954,0.08544229138521803,0.47370476308260884
133,8.55411063835043E18,0.64,0.7,0.04,0.057,34.0,0.3,24.1,13.7,0.22350934813817716,0.08544229138521803,0.5324609876615723
134,8.55411063835043E18,0.64,0.7,0.04,0.097,19.0,0.6,23.8,4.5,0.0686947038622724,0.08544229138521803,0.22283169910976283
135,8.55411063835043E18,0.52,0.7,0.04,0.093,19.0,0.6,23.8,4.5,0.1679546351631108,0.08544229138521803,0.4213515617114396
136,8.55411063835043E18,0.52,0.7,0.04,0.0,15.0,0.3,23.8,4.5,0.21002589046770848,0.08544229138521803,0.5054940723206349
137,8.55411063835043E18,0.64,0.7,0.04,0.097,15.0,0.3,24.1,13.7,0.3098158491837458,0.08544229138521803,0.7050739897527096
138,8.55411063835043E18,0.63,0.7,0.04,0.097,19.0,0.3,23.8,4.5,0.061316982964840325,0.08544229138521803,0.20807625731489868
139,8.55411063835043E18,0.64,0.7,0.01,0.093,19.0,0.3,23.8,4.5,0.08166993634690566,0.5500753835205638,0.7134152562143752
140,8.55411063835043E18,0.63,0.7,0.01,0.093,19.0,0.6,23.8,4.5,0.0933264700216298,0.5500753835205638,0.7367283235638235
141,8.55411063835043E18,0.52,0.7,0.04,0.057,15.0,0.3,23.8,4.5,0.21002589046770848,0.08544229138521803,0.5054940723206349
142,8.55411063835043E18,0.64,0.7,0.04,0.0,34.0,1.6,24.1,13.7,0.2206380821711703,0.08544229138521803,0.5267184557275586
143,8.55411063835043E18,0.64,0.7,0.01,0.097,15.0,0.3,23.8,4.5,0.06982817813607946,0.5500753835205638,0.6897317397927227
144,8.55411063835043E18,0.64,0.7,0.09,0.093,15.0,0.3,23.8,4.5,0.1568841781243239,0.16508220682542374,0.47885056307407153
145,8.55411063835043E18,0.64,0.7,0.04,0.093,15.0,0.3,23.8,10.2,0.23268480308284245,0.08544229138521803,0.5508118975509029
146,8.55411063835043E18,0.64,0.7,0.04,0.093,15.0,0.6,23.8,4.5,0.058968745727446197,0.08544229138521803,0.20337978284011043
147,8.55411063835043E18,0.63,0.7,0.04,0.097,19.0,0.6,23.8,10.2,0.2049550904915749,0.08544229138521803,0.4953524723683678
148,8.55411063835043E18,0.64,0.7,0.04,0.097,19.0,0.3,23.8,4.5,0.0603104930076967,0.08544229138521803,0.20606327740061142
149,8.55411063835043E18,0.64,0.7,0.04,0.093,19.0,0.6,17.2,4.5,0.2575509760512083,0.08544229138521803,0.6005442434876347
150,8.55411063835043E18,0.64,0.7,0.04,0.097,15.0,0.6,23.8,4.5,0.058968745727446197,0.08544229138521803,0.20337978284011043
151,8.55411063835043E18,0.64,0.7,0.04,0.093,19.0,0.3,17.2,4.5,0.28138149192147344,0.08544229138521803,0.6482052752281648
152,8.55411063835043E18,0.64,0.7,0.04,0.097,15.0,0.3,17.2,4.5,0.29574829583779916,0.08544229138521803,0.6769388830608163
153,8.55411063835043E18,0.63,0.7,0.04,0.097,15.0,0.6,23.8,4.5,0.06173728945133828,0.08544229138521803,0.20891687028789457
154,8.55411063835043E18,0.63,0.7,0.04,0.093,15.0,0.6,23.8,4.5,0.06173728945133828,0.08544229138521803,0.20891687028789457
155,8.55411063835043E18,0.65,0.7,0.04,0.097,15.0,0.6,23.8,4.5,0.06025060102163249,0.08544229138521803,0.205943493428483
156,8.55411063835043E18,0.63,0.7,0.04,0.097,19.0,0.3,23.8,6.2,0.10512211959316888,0.08544229138521803,0.2956865305715558
157,8.55411063835043E18,0.65,0.7,0.04,0.097,19.0,0.6,23.8,4.5,0.0786507668199399,0.08544229138521803,0.24274382502509784
158,8.55411063835043E18,0.63,0.7,0.04,0.097,55.0,0.3,23.8,4.5,0.16358892921812307,0.08544229138521803,0.41262014982146417
159,8.55411063835043E18,0.65,0.7,0.04,0.097,19.0,0.3,23.8,4.5,0.06331337830717088,0.08544229138521803,0.21206904799955978
160,8.55411063835043E18,0.65,0.7,0.04,0.097,15.0,0.3,23.8,4.5,0.062012528401243425,0.08544229138521803,0.20946734818770488
161,8.55411063835043E18,0.55,0.7,0.04,0.093,19.0,0.3,23.8,4.5,0.15003443626537033,0.08544229138521803,0.3855111639159587
162,8.55411063835043E18,0.64,0.7,0.09,0.093,15.0,0.6,23.8,4.5,0.14567576139156133,0.16508220682542374,0.4564337296085464
163,8.55411063835043E18,0.65,0.7,0.04,0.097,19.0,0.3,18.1,4.5,0.2328129507004032,0.08544229138521803,0.5510681927860244
